ID,spacefarer_ID,licenseNumber,issueDate,expiryDate,status,clearanceLevel
m1111111-1111-1111-1111-111111111111,s1111111-1111-1111-1111-111111111111,WL-1000001,2026-01-15,2027-01-15,ACTIVE,5
m2222222-2222-2222-2222-222222222222,s2222222-2222-2222-2222-222222222222,WL-1000002,2026-03-02,2027-03-02,ACTIVE,3
m3333333-3333-3333-3333-333333333333,s3333333-3333-3333-3333-333333333333,WL-1000003,2026-05-20,2027-05-20,PENDING,1
m0000006-0006-0006-0006-000000000006,s0000006-0006-0006-0006-000000000006,WL-1000006,2026-01-01,2027-01-01,ACTIVE,4
m0000007-0007-0007-0007-000000000007,s0000007-0007-0007-0007-000000000007,WL-1000007,2026-01-02,2027-01-02,PENDING,3
m0000008-0008-0008-0008-000000000008,s0000008-0008-0008-0008-000000000008,WL-1000008,2026-01-03,2027-01-03,ACTIVE,5
m0000009-0009-0009-0009-000000000009,s0000009-0009-0009-0009-000000000009,WL-1000009,2026-01-04,2027-01-04,PENDING,2
m0000010-0010-0010-0010-000000000010,s0000010-0010-0010-0010-000000000010,WL-1000010,2026-01-05,2027-01-05,ACTIVE,5
m0000011-0011-0011-0011-000000000011,s0000011-0011-0011-0011-000000000011,WL-1000011,2026-01-06,2027-01-06,PENDING,3
m0000012-0012-0012-0012-000000000012,s0000012-0012-0012-0012-000000000012,WL-1000012,2026-01-07,2027-01-07,ACTIVE,4
m0000013-0013-0013-0013-000000000013,s0000013-0013-0013-0013-000000000013,WL-1000013,2026-01-08,2027-01-08,PENDING,2
m0000014-0014-0014-0014-000000000014,s0000014-0014-0014-0014-000000000014,WL-1000014,2026-01-09,2027-01-09,ACTIVE,5
m0000015-0015-0015-0015-000000000015,s0000015-0015-0015-0015-000000000015,WL-1000015,2026-01-10,2027-01-10,PENDING,3
m0000016-0016-0016-0016-000000000016,s0000016-0016-0016-0016-000000000016,WL-1000016,2026-01-11,2027-01-11,ACTIVE,4
m0000017-0017-0017-0017-000000000017,s0000017-0017-0017-0017-000000000017,WL-1000017,2026-01-12,2027-01-12,PENDING,5
m0000018-0018-0018-0018-000000000018,s0000018-0018-0018-0018-000000000018,WL-1000018,2026-01-13,2027-01-13,ACTIVE,3
m0000019-0019-0019-0019-000000000019,s0000019-0019-0019-0019-000000000019,WL-1000019,2026-01-14,2027-01-14,PENDING,2
m0000020-0020-0020-0020-000000000020,s0000020-0020-0020-0020-000000000020,WL-1000020,2026-01-15,2027-01-15,ACTIVE,5
m0000021-0021-0021-0021-000000000021,s0000021-0021-0021-0021-000000000021,WL-1000021,2026-01-16,2027-01-16,PENDING,3
m0000022-0022-0022-0022-000000000022,s0000022-0022-0022-0022-000000000022,WL-1000022,2026-01-17,2027-01-17,ACTIVE,4
m0000023-0023-0023-0023-000000000023,s0000023-0023-0023-0023-000000000023,WL-1000023,2026-01-18,2027-01-18,PENDING,2
m0000024-0024-0024-0024-000000000024,s0000024-0024-0024-0024-000000000024,WL-1000024,2026-01-19,2027-01-19,ACTIVE,5
m0000025-0025-0025-0025-000000000025,s0000025-0025-0025-0025-000000000025,WL-1000025,2026-01-20,2027-01-20,PENDING,3
m0000026-0026-0026-0026-000000000026,s0000026-0026-0026-0026-000000000026,WL-1000026,2026-01-21,2027-01-21,ACTIVE,4
m0000027-0027-0027-0027-000000000027,s0000027-0027-0027-0027-000000000027,WL-1000027,2026-01-22,2027-01-22,PENDING,2
m0000028-0028-0028-0028-000000000028,s0000028-0028-0028-0028-000000000028,WL-1000028,2026-01-23,2027-01-23,ACTIVE,5
m0000029-0029-0029-0029-000000000029,s0000029-0029-0029-0029-000000000029,WL-1000029,2026-01-24,2027-01-24,PENDING,3
m0000030-0030-0030-0030-000000000030,s0000030-0030-0030-0030-000000000030,WL-1000030,2026-01-25,2027-01-25,ACTIVE,4
m0000031-0031-0031-0031-000000000031,s0000031-0031-0031-0031-000000000031,WL-1000031,2026-01-26,2027-01-26,PENDING,2
m0000032-0032-0032-0032-000000000032,s0000032-0032-0032-0032-000000000032,WL-1000032,2026-01-27,2027-01-27,ACTIVE,5
m0000033-0033-0033-0033-000000000033,s0000033-0033-0033-0033-000000000033,WL-1000033,2026-01-28,2027-01-28,PENDING,3
m0000034-0034-0034-0034-000000000034,s0000034-0034-0034-0034-000000000034,WL-1000034,2026-02-01,2027-02-01,ACTIVE,4
m0000035-0035-0035-0035-000000000035,s0000035-0035-0035-0035-000000000035,WL-1000035,2026-02-02,2027-02-02,PENDING,2
m0000036-0036-0036-0036-000000000036,s0000036-0036-0036-0036-000000000036,WL-1000036,2026-02-03,2027-02-03,ACTIVE,5
m0000037-0037-0037-0037-000000000037,s0000037-0037-0037-0037-000000000037,WL-1000037,2026-02-04,2027-02-04,PENDING,3
m0000038-0038-0038-0038-000000000038,s0000038-0038-0038-0038-000000000038,WL-1000038,2026-02-05,2027-02-05,ACTIVE,4
m0000039-0039-0039-0039-000000000039,s0000039-0039-0039-0039-000000000039,WL-1000039,2026-02-06,2027-02-06,PENDING,2
m0000040-0040-0040-0040-000000000040,s0000040-0040-0040-0040-000000000040,WL-1000040,2026-02-07,2027-02-07,ACTIVE,5
m0000041-0041-0041-0041-000000000041,s0000041-0041-0041-0041-000000000041,WL-1000041,2026-02-08,2027-02-08,PENDING,3
m0000042-0042-0042-0042-000000000042,s0000042-0042-0042-0042-000000000042,WL-1000042,2026-02-09,2027-02-09,ACTIVE,4
m0000043-0043-0043-0043-000000000043,s0000043-0043-0043-0043-000000000043,WL-1000043,2026-02-10,2027-02-10,PENDING,2
m0000044-0044-0044-0044-000000000044,s0000044-0044-0044-0044-000000000044,WL-1000044,2026-02-11,2027-02-11,ACTIVE,5
m0000045-0045-0045-0045-000000000045,s0000045-0045-0045-0045-000000000045,WL-1000045,2026-02-12,2027-02-12,PENDING,3
m0000046-0046-0046-0046-000000000046,s0000046-0046-0046-0046-000000000046,WL-1000046,2026-02-13,2027-02-13,ACTIVE,4
m0000047-0047-0047-0047-000000000047,s0000047-0047-0047-0047-000000000047,WL-1000047,2026-02-14,2027-02-14,PENDING,2
m0000048-0048-0048-0048-000000000048,s0000048-0048-0048-0048-000000000048,WL-1000048,2026-02-15,2027-02-15,ACTIVE,5
m0000049-0049-0049-0049-000000000049,s0000049-0049-0049-0049-000000000049,WL-1000049,2026-02-16,2027-02-16,PENDING,3
m0000050-0050-0050-0050-000000000050,s0000050-0050-0050-0050-000000000050,WL-1000050,2026-02-17,2027-02-17,ACTIVE,4
m0000051-0051-0051-0051-000000000051,s0000051-0051-0051-0051-000000000051,WL-1000051,2026-02-18,2027-02-18,PENDING,2
m0000052-0052-0052-0052-000000000052,s0000052-0052-0052-0052-000000000052,WL-1000052,2026-02-19,2027-02-19,ACTIVE,5
m0000053-0053-0053-0053-000000000053,s0000053-0053-0053-0053-000000000053,WL-1000053,2026-02-20,2027-02-20,PENDING,3
m0000054-0054-0054-0054-000000000054,s0000054-0054-0054-0054-000000000054,WL-1000054,2026-02-21,2027-02-21,ACTIVE,4
m0000055-0055-0055-0055-000000000055,s0000055-0055-0055-0055-000000000055,WL-1000055,2026-02-22,2027-02-22,PENDING,2
